,geo_id,Unnamed: 0,demographics.P_ENGLISH,demographics.P_NON_ENGLISH,demographics.P_AGE_LT5,demographics.P_AGE_LT18,demographics.P_AGE_GT17,demographics.P_AGE_GT64,demographics.P_HLI_OTHER_LI,demographics.P_LOWINC,demographics.PCT_MINORITY,demographics.P_EDU_LTHS,demographics.P_LIMITED_ENG_HH,demographics.P_EMP_STAT_UNEMPLOYED,demographics.P_DISABILITY,demographics.P_MALES,demographics.P_FEMALES,demographics.LIFEEXP,demographics.PER_CAP_INC,demographics.HSHOLDS,demographics.P_OWN_OCCUPIED,main.RAW_D_PEOPCOLOR,main.RAW_D_INCOME,main.RAW_D_UNDER5,main.RAW_D_OVER64,main.RAW_D_UNEMPLOYED,main.RAW_D_LIFEEXP,main.RAW_E_DIESEL,main.RAW_E_CANCER,main.RAW_E_TRAFFIC,main.RAW_E_O3,main.RAW_E_PM25,main.RAW_E_RSEI_AIR,main.stateAbbr,main.stateName,main.totalPop,main.NUM_AIRPOLL,main.NUM_BROWNFIELD,main.NUM_HOSPITAL,main.statLayerCount,main.statLayerZeroPopCount,main.weightLayerCount,main.distance,main.unit,main.areatype,main.statlevel,main.placename,extras.RAW_HI_LIFEEXPPCT,extras.RAW_HI_ASTHMA,extras.RAW_HI_DISABILITYPCT,extras.RAW_CG_NOHINCPCT,extras.RAW_CI_FLOOD,extras.RAW_CI_FLOOD30,extras.RAW_CI_FIRE,extras.RAW_CI_FIRE30
43,17031819700.0,43,96,4,5,36,64,12,0,9,11,1,2.0,3,5,47,53,84,73511,1771,97,11%,9%,5%,12%,3%,14%,0.456,30.0,120.0,65.9,10.4,6200.0,IL,ILLINOIS,5629.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"La Grange, IL",14%,8.1,4.8%,1%,10%,10%,0%,0%
44,17031839200.0,44,76,24,2,5,95,21,0,46,82,9,7.0,14,15,45,55,74,42309,1429,45,82%,46%,2%,21%,14%,24%,1.0,30.0,570.0,65.5,10.0,6400.0,IL,ILLINOIS,2473.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",24%,10.9,14.3%,4%,13%,15%,0%,0%
45,17031160501.0,45,37,63,4,21,79,8,0,32,74,20,15.0,8,4,46,54,82,33261,1323,44,74%,32%,4%,8%,8%,16%,0.619,30.0,60.0,66.4,9.76,7600.0,IL,ILLINOIS,3718.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",16%,8.5,4.1%,17%,8%,8%,0%,0%
46,17031804608.0,46,63,37,4,21,79,15,0,11,48,4,4.0,3,7,47,53,77,58127,1554,74,48%,11%,4%,15%,3%,21%,0.403,20.0,180.0,65.1,9.78,9600.0,IL,ILLINOIS,3536.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Schaumburg, IL",21%,8.2,6.5%,5%,6%,7%,0%,0%
47,17031590600.0,47,43,57,3,20,80,7,0,31,79,23,10.0,6,14,48,52,81,27878,1361,58,79%,31%,3%,7%,6%,17%,0.89,30.0,59.0,65.5,10.1,9200.0,IL,ILLINOIS,3701.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",17%,8.7,13.1%,13%,35%,37%,0%,0%
48,17031750400.0,48,94,6,3,19,81,18,0,16,41,4,1.0,6,9,54,46,78,57969,1302,85,41%,16%,3%,18%,6%,20%,0.465,20.0,150.0,65.9,10.4,5400.0,IL,ILLINOIS,2907.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Cook County, IL",20%,9.2,8.9%,2%,21%,22%,0%,0%
49,17031470100.0,49,93,7,4,18,82,23,0,36,98,15,0.0,21,22,42,58,73,25076,1042,53,98%,36%,4%,23%,21%,25%,0.547,30.0,48.0,66.1,10.2,30000.0,IL,ILLINOIS,2652.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",25%,12.3,21.5%,18%,31%,33%,0%,0%
50,17031350100.0,50,40,60,3,3,97,10,0,24,92,0,13.0,8,6,50,50,78,46161,1501,0,92%,24%,3%,10%,8%,20%,0.907,30.0,480.0,65.5,9.97,5900.0,IL,ILLINOIS,2459.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",20%,8.9,6.3%,4%,2%,2%,0%,0%
51,17031600400.0,51,41,59,2,15,85,19,10,40,71,20,27.0,9,14,52,48,81,34755,1637,47,71%,40%,2%,19%,9%,17%,1.09,30.0,830.0,65.4,10.0,7500.0,IL,ILLINOIS,4117.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",17%,7.8,13.5%,11%,55%,55%,0%,0%
52,17031310200.0,52,62,38,7,16,84,6,0,25,66,9,1.0,5,9,48,52,81,48292,740,35,66%,25%,7%,6%,5%,17%,1.4,30.0,5300.0,65.4,10.0,8000.0,IL,ILLINOIS,1760.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9035.0,tract,blockgroup,"Chicago, IL",17%,8.4,8.8%,5%,38%,38%,0%,0%
